x (m)	y (m)	Intensity
.000	.000	.262
.001	.000	.258
.002	.000	.255
.002	.000	.250
.003	.000	.245
.004	.000	.239
.005	.000	.233
.005	.000	.226
.006	.000	.218
.007	.000	.210
.008	.000	.201
.009	.000	.191
.009	.000	.181
.010	.000	.171
.011	.000	.159
.012	.000	.147
.013	.000	.135
.013	.000	.122
.014	.000	.109
.015	.000	.095
.016	.000	.080
.016	.000	.065
.017	.000	.049
.018	.000	.033
.019	.000	.017
.020	.000	.000
.020	.000	.017
.021	.000	.035
.022	.000	.053
.023	.000	.072
.023	.000	.090
.024	.000	.110
.025	.000	.129
.026	.000	.149
.027	.000	.169
.027	.000	.189
.028	.000	.209
.029	.000	.230
.030	.000	.251
.030	.000	.272
.031	.000	.293
.032	.000	.314
.033	.000	.335
.034	.000	.356
.034	.000	.378
.035	.000	.399
.036	.000	.420
.037	.000	.441
.038	.000	.462
.038	.000	.483
.039	.000	.504
.040	.000	.525
.041	.000	.545
.041	.000	.566
.042	.000	.586
.043	.000	.606
.044	.000	.625
.045	.000	.644
.045	.000	.663
.046	.000	.682
.047	.000	.700
.048	.000	.718
.048	.000	.735
.049	.000	.752
.050	.000	.769
.051	.000	.785
.052	.000	.800
.052	.000	.816
.053	.000	.830
.054	.000	.844
.055	.000	.857
.055	.000	.870
.056	.000	.882
.057	.000	.894
.058	.000	.905
.059	.000	.915
.059	.000	.925
.060	.000	.934
.061	.000	.942
.062	.000	.950
.063	.000	.957
.063	.000	.963
.064	.000	.968
.065	.000	.973
.066	.000	.977
.066	.000	.981
.067	.000	.983
.068	.000	.985
.069	.000	.986
.070	.000	.986
.070	.000	.986
.071	.000	.985
.072	.000	.983
.073	.000	.981
.073	.000	.977
.074	.000	.973
.075	.000	.968
.076	.000	.963
.077	.000	.957
.077	.000	.950
.078	.000	.942
.079	.000	.934
.080	.000	.925
.080	.000	.915
.081	.000	.905
.082	.000	.894
.083	.000	.882
.084	.000	.870
.084	.000	.857
.085	.000	.844
.086	.000	.830
.087	.000	.816
.088	.000	.800
.088	.000	.785
.089	.000	.769
.090	.000	.752
.091	.000	.735
.091	.000	.718
.092	.000	.700
.093	.000	.682
.094	.000	.663
.095	.000	.644
.095	.000	.625
.096	.000	.606
.097	.000	.586
.098	.000	.566
.098	.000	.545
.099	.000	.525
.100	.000	.504
.101	.000	.483
.102	.000	.462
.102	.000	.441
.103	.000	.420
.104	.000	.399
.105	.000	.378
.105	.000	.356
.106	.000	.335
.107	.000	.314
.108	.000	.293
.109	.000	.272
.109	.000	.251
.110	.000	.230
.111	.000	.209
.112	.000	.189
.113	.000	.169
.113	.000	.149
.114	.000	.129
.115	.000	.110
.116	.000	.090
.116	.000	.072
.117	.000	.053
.118	.000	.035
.119	.000	.017
.120	.000	.000
.120	.000	.017
.121	.000	.033
.122	.000	.049
.123	.000	.065
.123	.000	.080
.124	.000	.095
.125	.000	.109
.126	.000	.122
.127	.000	.135
.127	.000	.147
.128	.000	.159
.129	.000	.171
.130	.000	.181
.130	.000	.191
.131	.000	.201
.132	.000	.210
.133	.000	.218
.134	.000	.226
.134	.000	.233
.135	.000	.239
.136	.000	.245
.137	.000	.250
.138	.000	.255
.138	.000	.258
.139	.000	.262
.140	.000	.264
.141	.000	.266
.141	.000	.268
.142	.000	.268
.143	.000	.268
.144	.000	.268
.145	.000	.267
.145	.000	.265
.146	.000	.263
.147	.000	.260
.148	.000	.257
.148	.000	.253
.149	.000	.249
.150	.000	.244
.151	.000	.238
